G1 Model,G2 Equivalent,Family,Stage,Standard Source,kW,HP,Connection,Stages,B1 mm,B2 mm,Height mm,D1 mm,D2 mm,Weight kg
CHC 32-4,CHC 32-40,32,4,True,7.5,10,DN65,4,690,390,1080,275,210,120
CHC 32-5-2,CHC 32-50-2,32,5,True,11,15,DN65,5,915,505,1420,330,255,173
CHC 32-5,CHC 32-50,32,5,True,11,15,DN65,5,915,505,1420,330,255,174
CHC 32-6-2,CHC 32-60-2,32,6,True,11,15,DN65,6,985,505,1490,330,255,180
CHC 32-6,CHC 32-60,32,6,True,11,15,DN65,6,985,505,1490,330,255,181
CHC 32-7-2,CHC 32-70-2,32,7,True,15,20,DN65,7,1055,505,1560,330,255,210
CHC 32-7,CHC 32-70,32,7,True,15,20,DN65,7,1055,505,1560,330,255,211
CHC 32-8-2,CHC 32-80-2,32,8,True,15,20,DN65,8,1125,505,1630,330,255,213
CHC 32-8,CHC 32-80,32,8,True,15,20,DN65,8,1125,505,1630,330,255,214
CHC 32-9-2,CHC 32-90-2,32,9,True,18.5,25,DN65,9,1195,560,1755,330,255,230
CHC 32-9,CHC 32-90,32,9,True,18.5,25,DN65,9,1195,560,1755,330,255,230
CHC 32-10-2,CHC 32-100-2,32,10,True,18.5,25,DN65,10,1265,560,1825,330,255,235
CHC 32-10,CHC 32-100,32,10,True,18.5,25,DN65,10,1265,560,1825,330,255,236
CHC 32-11-2,CHC 32-110-2,32,11,True,22,30,DN65,1,1335,590,1925,380,280,275
CHC 32-11,CHC 32-110,32,11,True,22,30,DN65,1,1335,590,1925,380,280,276
CHC 32-12-2,CHC 32-120-2,32,12,True,22,30,DN65,12,1405,590,1995,380,280,280
CHC 32-12,CHC 32-120,32,12,True,22,30,DN65,12,1405,590,1995,380,280,281
CHC 32-13-2,CHC 32-130-2,32,13,True,30,40,DN65,13,1475,660,2135,420,305,400
CHC 32-13,CHC 32-130,32,13,True,30,40,DN65,13,1475,660,2135,420,305,400
CHC 32-14-2,CHC 32-140-2,32,14,True,30,40,DN65,14,1525,660,2185,420,305,405
CHC 32-14,CHC 32-140,32,14,True,30,40,DN65,14,1525,660,2185,420,305,405
CHC 45-1-1,CHC 45-10-1,45,1,True,3,4,DN80,1,561,293,854,197,165,86
CHC 45-1,CHC 45-10,45,1,True,4,5.5,DN80,1,561,315,876,260,165,86
CHC 45-2-2,CHC 45-20-2,45,2,True,5.5,7.5,DN80,2,641,430,1071,260,208,102
CHC 45-2,CHC 45-20,45,2,True,7.5,10,DN80,2,641,430,1071,330,208,102
CHC 45-3-2,CHC 45-30-2,45,3,True,11,15,DN80,3,826,490,1316,330,255,175
CHC 45-3,CHC 45-30,45,3,True,11,15,DN80,3,826,490,1316,330,255,175
CHC 45-4-2,CHC 45-40-2,45,4,True,15,20,DN80,4,906,490,1396,330,255,187
CHC 45-4,CHC 45-40,45,4,True,15,20,DN80,4,906,490,1396,330,255,187
CHC 45-5-2,CHC 45-50-2,45,5,True,18.5,25,DN80,5,986,550,1536,330,255,208
CHC 45-5,CHC 45-50,45,5,True,18.5,25,DN80,5,986,550,1536,330,255,208
CHC 45-6-2,CHC 45-60-2,45,6,True,22,30,DN80,6,1066,590,1656,360,285,251
CHC 45-6,CHC 45-60,45,6,True,22,30,DN80,6,1066,590,1656,360,285,251
CHC 45-7-2,CHC 45-70-2,45,7,True,30,40,DN80,7,1146,660,1806,420,310,315
CHC 45-7,CHC 45-70,45,7,True,30,40,DN80,7,1146,660,1806,420,310,315
